climb_id,user_id,star_rating
105717289,106192059,3.0
105717289,10232,4.0
105717289,107356939,4.0
105717289,105936209,3.0
105717289,106059834,4.0
105717289,10168,3.0
105717289,10481,3.0
105717289,105791779,3.0
105717289,13937,3.0
105717289,11327,4.0
105717289,106430658,4.0
105717289,106945549,2.0
105717289,10769,3.0
105717289,105812440,4.0
105717289,106098789,3.0
105717289,106389541,3.0
105717289,106400151,3.0
105717289,106156272,2.0
105717289,107902567,4.0
105717289,107937197,4.0
105717289,10121,4.0
105717289,10359,3.0
105717289,105829161,4.0
105717289,105929502,3.0
105717289,105972853,4.0
105717289,106142131,2.0
105717289,106162275,4.0
105717289,106372474,3.0
105717289,106414419,4.0
105717289,106456414,4.0
105717289,106467090,3.0
105717289,106489136,4.0
105717289,106861594,3.0
105717289,107146196,4.0
105717289,107515236,4.0
105717289,108035631,2.0
105717289,10870,3.0
105717289,109996200,4.0
105717289,11029,2.0
105717289,11047,3.0
105717289,11278,3.0
105717289,11287,3.0
105717289,13115,3.0
105717289,14004,4.0
105717307,106087077,3.0
105717307,105990845,2.0
105717307,105797501,3.0
105717307,10431,4.0
105717307,107356939,4.0
105717307,14213,3.0
105717307,105795871,4.0
105717307,106767428,4.0
105717307,10168,3.0
105717307,10481,2.0
105717307,105859992,4.0
105717307,106827872,4.0
105717307,106945549,4.0
105717307,107186883,4.0
105717307,14537,4.0
105717307,105788294,3.0
105717307,106098789,3.0
105717307,105787381,3.0
105717307,105936281,3.0
105717307,106088903,4.0
105717307,106389541,4.0
105717307,105800279,2.0
105717307,10121,3.0
105717307,10359,4.0
105717307,106142131,4.0
105717307,106262777,4.0
105717307,106456414,2.0
105717307,106467090,3.0
105717307,106838734,4.0
105717307,106861594,3.0
105717307,106887229,4.0
105717307,107146196,4.0
105717307,108035631,4.0
105717307,10870,3.0
105717307,109996200,4.0
105717307,11278,3.0
105717307,13115,2.0
105717307,14004,3.0
105717307,105874611,2.0
105717307,105987922,4.0
105717307,106119061,4.0
105717307,106565770,4.0
105717307,107236381,4.0
105717307,107342057,4.0
105717307,107656938,4.0
105717307,108147044,4.0
105717310,106193445,3.0
105717310,105822848,4.0
105717310,10185,4.0
105717310,105797501,4.0
105717310,105942841,4.0
105717310,14213,4.0
105717310,105795871,4.0
105717310,105936209,4.0
105717310,10168,4.0
105717310,10481,4.0
105717310,106121156,4.0
105717310,106860947,4.0
105717310,11327,4.0
105717310,106430658,4.0
105717310,106827872,4.0
105717310,106945549,2.0
105717310,107186883,4.0
105717310,107370769,3.0
105717310,106098789,4.0
105717310,105787381,4.0
105717310,105936281,3.0
105717310,106088903,3.0
105717310,106389541,4.0
105717310,10762,4.0
105717310,105800279,3.0
105717310,106247789,4.0
105717310,106738886,3.0
105717310,107902567,4.0
105717310,107937197,4.0
105717310,10121,4.0
105717310,10150,4.0
105717310,105807147,2.0
105717310,105929502,4.0
